Unnamed: 0,latitude,longitude,name,Area
114,1.433093886,103.7811833,BLK 347,None
115,1.393027471,103.901302,ST ANNE'S CH,None
116,1.298920571,103.7743733,YUSOF ISHAK HSE,None
117,1.385387024,103.8907563,BEF SENGKANG EAST AVE,None
118,1.33563695,103.8636993,BLK 120,None
119,1.302850136,103.8616456,SULTAN PLAZA,None
120,1.304922925,103.7626407,BLK 730,None
121,1.43970525,103.8027247,BLK 683A,None
122,1.317878244,103.7859072,COLD STORAGE JELITA,None
123,1.290917949,103.8073697,OPP LEA HIN HARDWARE FTY,None
124,1.43204738,103.7746001,OPP MARSILING STN,None
125,1.342188334,103.981848,AIRPORT POLICE STN,None
126,1.327023284,103.8920934,AZTECH BLDG,None
127,1.352225202,103.7077767,CORPORATION PR SCH,None
128,1.365130897,103.7478064,BLK 334,None
129,1.346910845,103.9629145,OPP MERA TERR P/G,None
130,1.302137418,103.8342562,OPP NGEE ANN CITY,None
131,1.382687134,103.9385965,OPP BLK 713,None
132,1.439993688,103.778422,BLK 12,None
133,1.292379911,103.8057256,OPP QUEENS,None
134,1.391979309,103.8800414,LAYAR STN EXIT A / BLK 417A,None
135,1.329359852,103.9507384,AFT BEDOK RD,None
136,1.379877094,103.8768693,BLK 988B,None
137,1.288362333,103.8125051,BLK 52,None
138,1.373458245,103.9597945,OPP BLK 482,None
139,1.370669203,103.8823695,OPP XINMIN PR SCH,None
140,1.297202232,103.8722794,PEBBLE BAY,None
141,1.329047881,103.6370901,BEF PIONEER RD,None
142,1.446670889,103.8228039,BLK 311,None
143,1.438371045,103.7431923,AFT KRANJI LK,None
144,1.340567325,103.7441254,OPP BLK 288D,None
145,1.350839352,103.8898555,BLK 172,None
146,1.347214246,103.6941297,BLK 821,None
147,1.288147789,103.8116112,SHRIRO HSE,None
148,1.303786262,103.8967689,BEF KATONG PO,None
149,1.435612544,103.7486135,AFT SG KADUT DR,None
150,1.431907293,103.7862592,AFT BLK 353,None
151,1.344141159,103.7582776,BLK 290H,None
152,1.33567827,103.7427326,J GATEWAY,None
153,1.446507924,103.8255817,BEF CANBERRA DR,None
154,1.44648878,103.8251386,OPP CANBERRA DR,None
155,1.281299517,103.8127259,BLK 118,None
156,1.340912961,103.7026242,BLK 668D,None
157,1.382447539,103.8797354,BLK 986B,None
158,1.365105521,103.9752498,LLOYD LEAS WORK REL CAMP,None
159,1.375646201,103.9465269,BLK 502,None
160,1.374873881,103.9619358,BET BLKS 232 / 233,None
161,1.455274764,103.831014,AFT QUEEN'S AVE,None
162,1.372011249,103.6946649,AFT CEMY OFFICE,None
163,1.380619272,103.697355,OPP HQ 5TH SIB CAMP I,None
164,1.388659617,103.8951128,OPP BLK 204 CP,None
165,1.370158304,103.8453247,OPP AL-MUTTAQIN MQUE,None
166,1.349803213,103.7272835,BLK 490,None
167,1.315333825,103.8834446,AFT ALJUNIED STN,None
168,1.383287537,103.7409389,BLK 429A CP,None
169,1.410565648,103.7745563,OPP MANDAI CAMP 2,None
170,1.327699857,103.7448393,OPP INTL BUSINESS PK,None
171,1.377507567,103.9007164,Bef Blk 471B,None
172,1.292941592,103.8070579,QUEENS CONDO,None
173,1.390523995,103.8843333,BLK 311A,None
174,1.302505446,103.8197202,AFT ROCHALIE DR,None
175,1.323041695,103.6865268,STAMFORD TYRE,None
176,1.354024169,103.7285421,AFT TRACK 22,None
177,1.42298343,103.851397,BEF YISHUN AVE 6,None
178,1.301581965,103.8754407,STADIUM STN,None
179,1.415892528,103.8394735,NAVAL BASE PR SCH,None
180,1.312085457,103.8402195,NEWTON FC,None
181,1.44570134,103.7996094,BLK 722,None
182,1.346972618,103.847105,OPP RAFFLES INSTN,None
183,1.432246874,103.8399136,BLK 241,None
184,1.271225263,103.8629306,MARINA STH PIER STN,None
185,1.38334137,103.8405977,OPP ANG MO KIO CMTY HOSP,None
186,1.303155612,103.8649779,GOLDEN MILE CPLX,None
187,1.436901521,103.7827442,OPP BLK 106,None
188,1.344796932,103.7520565,OPP BT VIEW SEC SCH,None
189,1.376750818,103.8285154,AFT YIO CHU KANG RD,None
190,1.430164079,103.8378028,OPP BLK 201,None
191,1.317771097,103.9063496,AFT KG EUNOS,None
192,1.339437636,103.7682489,AFT TOH TUCK TERR,None
193,1.325867844,103.8344627,CATHOLIC JC,None
194,1.312578563,103.8715256,KALLANG STN / OPP BLK 2C,None
195,1.307541793,103.8797354,S.A. DEAF,None
196,1.309670084,103.7600207,BLK 512,None
197,1.333950579,103.8514764,BLK 73,None
198,1.338324892,103.7192358,BLK 367,None
199,1.329162127,103.9246647,BLK 45,None
200,1.312497335,103.8731963,AFT LOR 1 GEYLANG,None
201,1.382295375,103.938559,BLK 713,None
202,1.325630132,103.7930517,OPP GARLICK VILLE,None
203,1.340147952,103.7160215,OPP LAKEPOINT CONDO,None
204,1.352357973,103.7255281,BLK 416,None
205,1.309500356,103.7821001,OPP SP SMA,None
206,1.33453807,103.7385615,BLK 124,None
207,1.462546999,103.8100284,OPP W'LANDS SUNNY FOOD,None
208,1.411599805,103.7613696,OPP MANDAI CD TRG VILLAGE,None
209,1.332236778,103.64981,BEF TUAS AVE 10,None
210,1.444605425,103.7892675,OPP BLK 872,None
211,1.354489905,103.8469189,OPP BLK 203,None
212,1.370263345,103.9571749,BLK 446,None
213,1.365814775,103.7753102,AFT DAIRY FARM RD,None
214,1.328588579,103.7037503,AFT SOON LEE RD,None
215,1.353323353,103.9344578,OPP BLK 853,None
216,1.326231714,103.8748642,BEF LOR BAKAR BATU,None
217,1.379060395,103.8275884,OPP MEADOWS /@ PEIRCE,None
218,1.341296242,103.8270911,LP 52,None
219,1.29894816,103.8964884,HSE 189,None
220,1.376446402,103.744036,BEF CHOA CHU KANG MKT,None
221,1.314478605,103.9374472,AFT SENNET RD,None
222,1.379289553,103.9643731,OPP LOYANG TOWNHOUSE,None
223,1.3027347,103.905037,OPP PARKWAY PARADE,None
224,1.29323953,103.8578693,SUNTEC CONVENTION CTR,None
225,1.358671165,103.761951,HILLBROOKS,None
226,1.31430714,103.8659145,BEF KALLANG PL,None
227,1.334651622,103.6516205,RAFFLES COUNTRY CLUB,None
228,1.362661999,103.9009322,OPP DEFU AVE 2,None
229,1.439769625,103.7805647,OPP BLK 120,None
230,1.326714582,103.9005174,BLK 343,None
231,1.328865828,103.8970659,BLK 3024,None
232,1.375813997,103.9742018,WACKER CHEMICALS,None
233,1.305200002,103.8834204,MOUNTBATTEN STN EXIT B,None
234,1.372394995,103.7042356,OPP JLN BERSERI,None
235,1.342260847,103.8360153,MACRITCHIE RESERVOIR,None
236,1.352091642,103.9610686,BLK 343,None
237,1.383760748,103.7660489,BET BLKS 502/503,None
238,1.378520564,103.9787083,OPP LOYANG WAY 4 / SOXAL,None
239,1.367251396,103.9683784,BEF NEW LOYANG LK,None
240,1.354974201,103.8368745,BLK 25,None
241,1.34940033,103.6973207,BLK 762,None
242,1.379235154,103.7475872,BLK 239,None
